timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-11T17:53:40.383460,34,move_right,295.0,247.5,dx=20.5px
2026-06-11T17:53:42.534878,62,blink,317.0,293.5,
2026-06-11T17:53:47.177669,136,move_right,428.0,291.5,dx=128.5px
2026-06-11T17:53:47.353491,138,move_left,400.0,286.0,dx=-28.0px
2026-06-11T17:54:01.407336,352,move_right,351.5,239.5,dx=36.5px
2026-06-11T17:54:02.464164,368,move_down,363.0,306.5,dy=61.0px
2026-06-11T17:54:06.726061,422,move_right,419.5,277.0,dx=20.5px
2026-06-11T17:54:16.570910,572,blink,452.0,275.5,
2026-06-11T17:54:27.818112,674,blink,445.5,246.5,
2026-06-11T17:54:33.537046,726,blink,451.0,249.5,
2026-06-11T17:54:35.782131,748,move_down,438.5,266.0,dy=22.0px
2026-06-11T17:54:47.413940,856,move_left,340.5,306.0,dx=-51.0px
2026-06-11T17:54:55.621436,930,blink,384.0,306.0,
2026-06-11T17:54:55.621617,930,move_right,384.0,306.0,dx=25.5px
2026-06-11T17:54:56.110024,936,move_left,363.0,300.5,dx=-21.0px
2026-06-11T17:55:06.043544,1066,blink,369.0,277.0,
2026-06-11T17:55:17.641850,1190,smile,377.0,278.5,
2026-06-11T17:55:18.746307,1200,smile,379.0,284.5,
2026-06-11T17:55:19.873928,1212,smile,375.5,283.5,
2026-06-11T17:55:20.972732,1222,smile,375.5,283.0,
2026-06-11T17:55:21.917889,1232,smile,376.0,281.5,
2026-06-11T17:55:22.134373,1234,blink,376.5,280.5,
2026-06-11T17:55:23.022383,1242,smile,376.0,277.0,
2026-06-11T17:55:24.107080,1252,smile,375.0,277.0,
2026-06-11T17:55:29.784515,1304,blink,379.5,273.0,
2026-06-11T17:55:38.131789,1392,move_right,443.0,271.5,dx=64.5px
2026-06-11T17:55:56.933139,1628,move_down,441.5,331.5,dy=70.5px
2026-06-11T17:56:05.873378,1728,blink,373.0,268.0,
2026-06-11T17:56:05.873526,1728,move_up,373.0,268.0,dy=-38.0px
2026-06-11T17:56:06.092236,1730,move_left,343.0,277.0,dx=-30.0px
2026-06-11T17:56:24.762986,2028,move_left,293.5,275.5,dx=-60.0px
2026-06-11T17:56:24.935593,2030,move_right,322.5,271.0,dx=29.0px
